pair_ID	sentença_a	sentença_b	relatedness_score	entailment_judgment
4	Os meninos estão brincando ao ar livre e o homem está sorrindo por perto	Não há garoto brincando ao ar livre e não há homem sorrindo	3.6	CONTRADICTION
24	Uma pessoa de jaqueta preta está fazendo truques em uma moto	Uma pessoa qualificada está andando de bicicleta em uma roda	3.4	NEUTRAL
105	Quatro crianças estão fazendo backbends na academia	Quatro meninas estão fazendo backbends e brincando ao ar livre	3.8	NEUTRAL
116	Um jogador está jogando a bola	Duas equipes estão competindo em uma partida de futebol	2.9	NEUTRAL
119	Cinco crianças estão de pé na frente de uma cabana de madeira	Cinco filhos estão de pé em uma cabana de madeira	4.2	NEUTRAL
185	Poucas pessoas estão comendo em mesas vermelhas em um restaurante sem luzes	Um grande grupo de pessoas asiáticas está comendo em um restaurante	2.6	NEUTRAL
197	Alguém está em uma motocicleta em preto e branco e está de pé no assento	Uma motocicleta está andando de pé no banco do veículo	3.165	NEUTRAL
211	Dois cães estão brincando de uma árvore	Dois cães estão brincando de uma planta	4.6	ENTAILMENT
218	Uma garota de branco está dançando	Uma garota está vestindo roupas brancas e está dançando	4.9	ENTAILMENT
219	Não há garota de dança branca	Uma garota de branco está dançando	4.2	CONTRADICTION
225	O equipamento em frente à garota da dança loira é som	Uma garota de branco está dançando	2.7	NEUTRAL
228	Uma garota de branco está dançando	A garota loira está dançando em frente ao equipamento de som	3.3	NEUTRAL
236	Os filhos de uma família estão brincando e esperando	Um homem asiático está dançando e três crianças estão olhando	1.9	NEUTRAL
253	Um caminhante está no topo da montanha e está fazendo uma dança alegre	Um caminhante está no topo da montanha e está dançando	4.7	ENTAILMENT
280	Um menino está do lado de fora da água	O garoto está percorrendo o oceano azul	3.135	NEUTRAL
285	Uma pessoa careca está tocando um violão	Uma pessoa tem cabelos loiros e escolares e está tocando uma guitarra	3.9	NEUTRAL
304	Uma mulher velha e de topless é coberta de tinta	Uma mulher jovem e de topless está coberta de tinta	3.8	NEUTRAL
317	Um grupo de crianças de uniforme está de pé em um portão e não há ninguém beijando a mãe	Uma multidão de pessoas está perto da água	1.3	NEUTRAL
382	Um cachorro marrom e branco está correndo pela grama alta	Um cachorro marrom e branco está se movendo pela grama selvagem	4.4	NEUTRAL
384	Um cachorro branco e bronzeado está correndo pela grama alta e verde	Um cachorro branco e bronzeado está passando por um campo	4.35	ENTAILMENT
394	Um homem está sentado perto de uma bicicleta e está escrevendo uma nota	Um homem está de pé perto de uma bicicleta e está escrevendo em um pedaço de papel	3.6	NEUTRAL
402	Um grupo de batedores está caminhando pela grama	Um grupo de exploradores está andando pela grama	4.1	NEUTRAL
