sent0,sent1,hard_neg
A Pepsi acaba de confirmar a produção de seu primeiro smartphone.,Teremos um smartphone criado pela grande empresa de refrigerante Pepsi.,A Pepsi nega veementemente os rumores sobre o lançamento de qualquer smartphone.
Os testes com o veículo em estradas devem começar em breve e logo teremos imagens do veículo da Apple.,Os testes do carro da Apple não devem demorar muito para acontecer.,Os testes com o veículo da Apple foram cancelados e as imagens nunca serão divulgadas.
"Na embaixada em Porto Príncipe, o MRE emite mensalmente, cerca de 2.000 vistos para imigrantes haitianos.",A embaixada em Porto Príncipe emite 2 mil vistos desse tipo por mês.,"Na embaixada em Porto Príncipe, o MRE não emite vistos para imigrantes haitianos."
O Instagram completou cinco anos de existência na última terça-feira (6).,A rede social Instagram acaba de completar cinco anos de vida.,"O Instagram não completou cinco anos de existência na última terça-feira (6), mas está prestes a completar."
"O modelo de 21,5 polegadas e tela 4K é a novidade, e começa em US$ 1.499 (R$ 5.755).","A novidade é uma versão com tela 4K com tamanho de 21,5 polegadas.","O modelo de 21,5 polegadas não terá tela 4K, e o preço cai para US$ 1.099 (R$ 4.200)."
Uma outra dica muito importante da Apple é fazer backup do seu aparelho antes de iniciar o update.,A Apple recomenda fazer um backup antes de iniciar a atualização.,"A Apple não prioriza fazer backup antes de atualizar, mas oferece outras dicas importantes."
"A situação de Jorge Horacio Messi, no entanto, é pior, e o MP solicita reclusão de 18 anos.","Há situação do pai do jogador, Jorge Horacio Messi, é bem pior.","A situação de Jorge Horacio Messi, no entanto, não é pior, e o MP arquivou o caso após 18 anos."
"O rato, de nome científico Hyorhinomys stuempkei, foi descoberto por cientistas na Indonésia.",Um grupo de cientistas descobriu uma nova espécie de rato na Indonésia.,Cientistas indonésios refutaram a descoberta do rato Hyorhinomys stuempkei.
"Para que a votação seja concluída, será necessário analisar os quatro destaques na próxima reunião do colegiado.","Assim, os destaques devem ser apreciados em uma próxima reunião do colegiado.","Apesar dos destaques serem apreciados na próxima reunião do colegiado, a votação não será concluída."
A Câmara concluiu nesta quarta-feira a votação do projeto que regulamenta a terceirização no país.,A Câmara Federal terminou de votar o projeto de regulamentação da terceirização.,A Câmara adiou nesta quarta-feira a votação do projeto que revoga a terceirização no país.
O clima na cidade é de tensão e uma guerra entre bandidos e justiceiros foi declarada pelas redes sociais.,"Via redes sociais, baderneiros e justiceiros já declararam guerra publicamente.","Através das redes sociais, a paz entre bandidos e justiceiros foi negociada, aliviando a tensão na cidade."
"No passado, foram 450 mil declarações em atraso e 550 mil retificadoras.",Já as entregas fora do prazo somam cerca de 450 mil.,"No presente, são apenas 450 mil declarações adiantadas e 550 mil originais."
O “gaúcho da Copa” era torcedor do Grêmio e vinha lutando contra um câncer há mais de 9 anos.,O “gaúcho da Copa” lutava contra um câncer.,"O ""gaúcho da Copa"" não lutava contra um câncer."
"Se aprovado, o reajuste pode gerar R$ 1,9 bilhão para os cofres estaduais a partir do próximo ano.","A modificação injetaria R$1,9 bilhão por ano nos cofres do Estado.","Se reprovado, o ajuste pode drenar R$ 1,9 bilhão dos cofres estaduais a partir do próximo ano."
O tratamento é baseado no uso de paracetamol para febre e dor.,"O tratamento é feito com medicamentos para reduzir a dor, como paracetamol.",O tratamento não é baseado no uso de paracetamol para febre e dor.
"Ao postar o clique em sua conta no Instagram, o cantor não revelou se realmente fez a tatuagem.","O cantor, no entanto, não deixou claro se realmente fez a tatuagem.","Ao postar o clique em sua conta no Instagram, o cantor confirmou que realmente fez a tatuagem, embora não tenha deixado claro."
"A Petrobras fechou janeiro, fevereiro e março com R$ 68,2 bilhões em caixa.","A estatal terminou o trimestre com R$ 68,2 bilhões em caixa.","A Petrobras consumiu R$ 68,2 bilhões em caixa entre janeiro e março, fechando o trimestre sem reservas."
"O Santos anunciou nesta sexta-feira o retorno do zagueiro Leonardo, de 29 anos, que estava no Ituano.",O Santos anunciou de forma oficial a contratação do zagueiro Leonardo nesta sexta-feira.,"O Santos anunciou nesta sexta-feira que o zagueiro Leonardo, de 29 anos, não retornará, apesar do interesse do Ituano."
O fogo se alastrou rapidamente porque as casas são de madeira e estão próximas umas das outras.,O fogo se alastrou rápido devido as casas serem de madeira.,"O fogo não se alastrou, embora as casas fossem de madeira e estivessem próximas."
"Em maio, endividamentos interno e externo somavam R$ 2,49 trilhões.","Em maio, a dívida estava avaliada em 2,49 trilhões de reais.","Em maio, o superávit interno e externo alcançava R$ 2,49 trilhões."
"A exposição terá entrada gratuita, com distribuição de senhas diariamente para três turnos de visitação.","A entrada é gratuita, mas será preciso pegar uma senha para ter acesso à exposição.","A exposição terá entrada paga, mas a senha garante acesso irrestrito, sem turnos de visitação."
"A vacinação não exclui a necessidade da realização de exames periódicos, como o Papanicolau.","Por isso, o exame preventivo também deve ser feito mesmo em mulheres vacinadas.","A vacinação diminui a necessidade da realização de exames periódicos, tornando o Papanicolau menos urgente, e o exame preventivo pode ser espaçado em mulheres vacinadas."
A peça era toda plissada com detalhes em veludo e foi combinada com sandálias Saint Laurent e brincos Bvlgari.,"Para completar o look, escolheu sandálias Saint Laurent e brincos Bvlgari.","Apesar das sandálias Saint Laurent e brincos Bvlgari, a peça plissada com veludo destoava completamente."
Caio chegou a passar por cirurgia mas infelizmente faleceu no Hospital Estadual Getúlio Vargas.,"Caio ainda foi levado para o hospital Getúlio Vargas, mas não resistiu.","Caio chegou ao Hospital Getúlio Vargas, onde passou por cirurgia e se recuperou."
"Até o momento, a LG não comentou nada sobre o preço do V10 e nem sua data de lançamento.",A LG ainda não anunciou o preço do aparelho.,"Até o momento, a LG anunciou o preço do V10 e sua data de lançamento."
"A definição da chave ocorre na próxima terça-feira, às 15h45 (de Brasília).",A definição da chave acontecerá na próxima terça-feira.,A indefinição da chave permanece na próxima terça-feira.
"Pato fez um gol legítimo, anulado pelo bandeirinha alegando impedimento.","Alexandre Pato recebeu em posição legal, fez o gol, mas o impedimento foi marcado.","Pato, impedido, tentou o gol, que foi validado após revisão."
"O Bragantino, que sonhava em colar na zona de classificação, fica em nono lugar, com 42 pontos.","O Bragantino, por outro lado, surge em nono lugar, com 42.","O Bragantino, longe de se distanciar da zona de rebaixamento, permanece em nono lugar, com 42 pontos."
Houve uma tempestade bastante severa com condições para tornado naquela região.,As condições atmosféricas na região possibilitavam a formação do tornado.,"Apesar da tempestade severa, as condições atmosféricas locais impediram a formação de um tornado."
"Suspenso, o zagueiro Felipe será substituído por Edu Dracena.",O zagueiro Felipe está suspenso e terá de ser substituído.,"Escalado, o zagueiro Felipe não será substituído por Edu Dracena."
"Mais tarde, aos 19, o gremista sacou o meia Douglas para a entrada do atacante Yuri Mamute.",O Grêmio substituiu Douglas por Yuri Mamute.,"Mais cedo, aos 39, o gremista escalou o meia Douglas para a saída do atacante Yuri Mamute."
"Na quarta-feira o governador também foi ao Congresso, onde viu de perto a resistência à aprovação da CPMF.",A proposta de volta da CPMF esbarrou em forte resistência no Congresso.,"Na quarta-feira, o governador foi ao Congresso para apoiar a aprovação da CPMF, superando a resistência inicial."
"Segundo o treinador da seleção brasileira, Guilherme Pussieldi, a atleta precisa ser submetida a uma cirurgia.","Segundo o treinador da seleção brasileira, a atleta deve passar por uma cirurgia.","Segundo o treinador da seleção brasileira, a atleta não precisará de cirurgia."
A Jaguar Land Rover é a primeira companhia britânica de automóveis a investir numa planta de manufatura no Brasil.,Essa será a primeira fábrica da Jaguar Land Rover no Brasil.,A Jaguar Land Rover não é a primeira companhia britânica a desativar uma planta de manufatura no Brasil.
"No total, são 2.555 moradias, com investimento de R$ 211 milhões.","No total, foram investidos R$ 211 milhões para a construção das casas.","No total, são R$ 211 milhões investidos, mas apenas 2.555 moradias foram construídas."
