pair_ID	sentença_a	sentença_b	relatedness_score	entailment_judgment
1	Um grupo de crianças está brincando em um quintal e um velho está de pé ao fundo	Um grupo de meninos em um quintal está tocando e um homem está de pé ao fundo	4.5	NEUTRAL
2	Um grupo de crianças está brincando em casa e não há homem em segundo plano	Um grupo de crianças está brincando em um quintal e um velho está de pé ao fundo	3.2	NEUTRAL
3	Os meninos estão brincando ao ar livre e o homem está sorrindo por perto	As crianças estão brincando ao ar livre perto de um homem com um sorriso	4.7	ENTAILMENT
5	As crianças estão brincando ao ar livre perto de um homem com um sorriso	Um grupo de crianças está brincando em um quintal e um velho está de pé ao fundo	3.4	NEUTRAL
9	Os meninos estão brincando ao ar livre e o homem está sorrindo por perto	Um grupo de crianças está brincando em um quintal e um velho está de pé ao fundo	3.7	NEUTRAL
12	Dois cães estão lutando	Dois cães estão lutando e abraçando	4	NEUTRAL
14	Um cachorro marrom está atacando outro animal em frente ao homem de calça	Dois cães estão lutando	3.5	NEUTRAL
18	Um cachorro marrom está atacando outro animal em frente ao homem de calça	Dois cães estão lutando e abraçando	3.2	NEUTRAL
25	Ninguém está andando de bicicleta em uma roda	Uma pessoa de jaqueta preta está fazendo truques em uma moto	2.8	NEUTRAL
26	Uma pessoa está andando de bicicleta em uma roda	Um homem de jaqueta preta está fazendo truques em uma moto	3.7	NEUTRAL
28	Uma pessoa em uma moto preta está fazendo truques com uma jaqueta	Uma pessoa está andando de bicicleta em uma roda	3.4	NEUTRAL
30	Um homem com uma camisa está mergulhando a bola em um jogo de basquete	A bola está sendo mergulhada por um homem com uma camisa em um jogo de basquete	4.9	ENTAILMENT
35	Um homem com uma camisa está mergulhando a bola em um jogo de basquete	Um homem que está jogando afundar o basquete na rede e uma multidão está em segundo plano	3.6	NEUTRAL
40	O jogador está mergulhando o basquete na rede e uma multidão está em segundo plano	Um homem com uma camisa está mergulhando a bola em um jogo de basquete	3.8	NEUTRAL
42	Duas pessoas são kickboxing e os espectadores não estão assistindo	Duas pessoas são kickboxing e os espectadores estão assistindo	3.4	CONTRADICTION
44	Duas jovens estão brigando em uma luta de kickboxing	Duas mulheres estão brigando em uma partida de kickboxing	4.9	ENTAILMENT
45	Duas jovens não estão brigando em uma luta de kickboxing	Duas mulheres estão brigando em uma partida de kickboxing	3.9	NEUTRAL
47	Duas pessoas são kickboxing e os espectadores estão assistindo	Duas jovens não estão brigando em uma luta de kickboxing	3.415	NEUTRAL
49	Duas mulheres estão brigando em uma partida de kickboxing	Duas pessoas são kickboxing e os espectadores não estão assistindo	3.7	NEUTRAL
55	Três meninos estão pulando nas folhas	Três crianças estão pulando nas folhas	4.4	ENTAILMENT
56	Três crianças estão sentadas nas folhas	Três crianças estão pulando nas folhas	3.8	NEUTRAL
58	Crianças em camisas vermelhas estão brincando nas folhas	Três crianças estão sentadas nas folhas	3.5	NEUTRAL
62	Crianças em camisas vermelhas estão brincando nas folhas	Três crianças estão pulando nas folhas	4	NEUTRAL
65	Dois anjos estão fazendo neve nas crianças mentiras	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	2.9	NEUTRAL
70	Duas crianças estão deitadas na neve e estão desenhando anjos	Duas pessoas em roupas de neve estão deitadas na neve e fazendo anjos de neve	4.1	NEUTRAL
